team,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17,gw18,gw19,gw20,gw21,gw22,gw23,gw24,gw25,gw26,gw27,gw28,gw29,gw30,gw31,gw32,gw33,gw34,gw35,gw36,gw37,gw38
Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,,,,,
Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,
Brentford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,
Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,
Burnley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,
Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,,,,,
Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,
Fulham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,,
Leeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,
Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,
Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
Newcastle United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,,,
Nottingham Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,
Sunderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,
Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,
West Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,
Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
